Title,Rating,Genre,Cast
Knock at the Cabin,64.0%,Horror,"Dave Bautista, Jonathan Groff, Ben Aldridge, Kristen Cui, Nikki Amuka-Bird, Rupert Grint, Abby Quinn, McKenna Kerrigan, Ian Merrill Peakes"
The Devil Conspiracy,62.0%,"Horror, Fantasy, Science Fiction, Thriller","Alice Orr-Ewing, Joe Doyle, Eveline Hall, Peter Mensah, Joe Anderson, Brian Caspe, Spencer Wilding, James Faulkner, Victoria Chilap"
Knights of the Zodiac,65.0%,"Fantasy, Action, Adventure","Mackenyu, Famke Janssen, Madison Iseman, Diego Tinoco, Mark Dacascos, Nick Stahl, Sean Bean, Godfrey Gao, Caitlin M Hutson"
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,77.0%,"Animation, Fantasy, Adventure","Miho Okasaki, Makoto Furukawa, Megumi Toyoguchi, Tomoaki Maeno, Sayaka Senbongi, Mao Ichimichi, Takuya Eguchi, Hochu Otsuka, Asuna Tomari"
The Elderly,71.0%,"Horror, Thriller, Fantasy","Irene Anula, Zorion Eguileor, Josele Román, Paula Gallego, Juan Acedo, Gustavo Salmerón, Carmen Ibeas"
M3GAN,74.0%,"Science Fiction, Horror, Comedy","Allison Williams, Violet McGraw, Jenna Davis, Amie Donald, Jen Van Epps, Brian Jordan Alvarez, Ronny Chieng, Stephane Garneau-Monten, Amy Usherwood"
Death's Roulette,66.0%,"Thriller, Mystery, Drama, Horror","Manolo Cardona, Maribel Verdú, Carla Adell, Juan Carlos Remolina, Adriana Paz, Dagoberto Gama, Fernando Becerril, Tiago Correa"
Plane,69.0%,"Action, Adventure, Thriller","Gerard Butler, Mike Colter, Yoson An, Tony Goldwyn, Daniella Pineda, Paul Ben-Victor, Remi Adeleke, Joey Slotnick, Evan Dane Taylor"
Prizefighter: The Life of Jem Belcher,62.0%,"Drama, History","Matt Hookings, Ray Winstone, Jodhi May, Marton Csokas, Russell Crowe, Steven Berkoff, Julian Glover"
Marcel the Shell with Shoes On,78.0%,"Animation, Comedy, Family, Drama, Adventure","Jenny Slate, Dean Fleischer Camp, Isabella Rossellini, Joe Gabler, Shari Finkelstein, Samuel Painter, Blake Hottle, Scott Osterman, Jeremy Evans"
Shotgun Wedding,63.0%,"Action, Comedy, Romance","Jennifer Lopez, Josh Duhamel, Jennifer Coolidge, Sônia Braga, Lenny Kravitz, D'Arcy Carden, Cheech Marin, Selena Tan, Desmin Borges"
Stand by Me Doraemon,73.0%,"Animation, Family, Science Fiction, Fantasy","Wasabi Mizuta, Megumi Oohara, Yumi Kakazu, Subaru Kimura, Tomokazu Seki, Satoshi Tsumabuki, Vanilla Yamazaki, Sachi Matsumoto, Shihoko Hagino"
Hunt,69.0%,"Thriller, Action","Lee Jung-jae, Jung Woo-sung, Jeon Hye-jin, Heo Sung-tae, Go Youn-jung, Kim Jong-soo, Jeong Man-sik, Lim Hyung-kook, Jung Kyung-soon"
The Forbidden Legend: Sex & Chopsticks 2,62.0%,"Comedy, Drama, Romance","Oscar Lam Wai-Kin, Serina Hayakawa, Kaera Uehara, Winnie Leung, Hikaru Wakana, Lee Kin-Yan, Tam Kon-Chung, Samuel Leung Cheuk-Moon, Frankie Ng"
Two Witches,63.0%,Horror,"Belle Adams, Jacob DeMonte-Finn, Tim Fox, Clint Glenn Hummel, Danielle Kennedy, Rebekah Kennedy, Kristina Klebe, Ian Michaels, Lindsey Rose Naves"
Swapping: A Divorce Trip Between Two Couples,80%,Drama,"Lee Chae-dam, Lee Soo, Yong Pal, Shin Yeon-ho"
"Kiss, Kiss!",66.0%,"Romance, Comedy","Mateusz Kościukiewicz, Rafał Zawierucha, Zofia Domalik, Agnieszka Więdłocha, Marcin Perchuć, Emilia Krakowska, Tomasz Sapryk, Kamila Kamińska, Sebastian Dela"
Fall,73.0%,Thriller,"Grace Caroline Currey, Virginia Gardner, Jeffrey Dean Morgan, Mason Gooding, Jasper Cole, Darrell Dennis, Julia Pace Mitchell, Bamm Ericsen, Evie Mann"
The Exorcist,59.0%,Horror,"María Evoli, Diana Bracho, Tina Romero, Norma Lazareno, Pilar Santacruz, Salvador Sánchez, Julio Bracho, Ramón Medína"
The Little Mermaid,0%,"Adventure, Family, Fantasy, Romance","Halle Bailey, Jonah Hauer-King, Daveed Diggs, Awkwafina, Jacob Tremblay, Noma Dumezweni, Javier Bardem, Melissa McCarthy, Art Malik"
Spider-Man: No Way Home,80%,"Action, Adventure, Science Fiction","Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon, Jon Favreau, Jamie Foxx, Willem Dafoe, Alfred Molina, Benedict Wong"
The Amazing Maurice,71.0%,"Animation, Adventure, Comedy, Family, Fantasy","Hugh Laurie, Emilia Clarke, David Thewlis, Himesh Patel, Gemma Arterton, Hugh Bonneville, Ariyon Bakare, Julie Atherton, David Tennant"
Shark Side of the Moon,53.0%,"Action, Science Fiction, Thriller, Horror","Maxi Witrak, Ego Mikitas, Michael Marcel, Tania Fox, Konstantin Podprugin, Lindsey Marie Wilson, Lydia Hunter, Reginald Stalling III, Terrance Livingston Jr."
Guardians of the Galaxy,79.0%,"Action, Science Fiction, Adventure","Chris Pratt, Zoe Saldaña, Dave Bautista, Vin Diesel, Bradley Cooper, Lee Pace, Michael Rooker, Karen Gillan, Djimon Hounsou"
The Quintessential Quintuplets Movie,86.0%,"Animation, Comedy, Romance","Yoshitsugu Matsuoka, Kana Hanazawa, Ayana Taketatsu, Miku Ito, Ayane Sakura, Inori Minase, Natsumi Takamori, Satoshi Hino"
Batman: The Doom That Came to Gotham,66.0%,"Animation, Fantasy, Horror, Action, Mystery","David Giuntoli, Patrick Fabian, John DiMaggio, Karan Brar, Navid Negahban, Darin De Paul, Emily O'Brien, Christopher Gorham, David Dastmalchian"
The Mummy Resurrection,56.0%,Horror,"Carl Wharton, Chris Bell, Marcus Langford, Raven Lee, Sophie Marlowe, Jas Steven Singh"
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,83.0%,"Animation, Action, Adventure, Fantasy, Thriller","Natsuki Hanae, Akari Kito, Hiro Shimono, Yoshitsugu Matsuoka, Satoshi Hino, Takahiro Sakurai, Katsuyuki Konishi, Saori Hayami, Kenichi Suzumura"
Top Gun: Maverick,83.0%,"Action, Drama","Tom Cruise, Miles Teller, Jennifer Connelly, Jon Hamm, Glen Powell, Ed Harris, Val Kilmer, Lewis Pullman, Charles Parnell"
Thor: Love and Thunder,66.0%,"Fantasy, Action, Comedy","Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson, Taika Waititi, Jaimie Alexander, Russell Crowe, Chris Pratt, Karen Gillan"
Cazadora,62.0%,Thriller,"Natalia Reddersen, Willy Semler, Alexandra Von Hummel, Felipe Valenzuela"
The Awkward Weekend,54.0%,"Comedy, Drama, Romance","Lisa Zweerman, Kay Greidanus, Carolien Spoor, Jon Karthaus, Steef de Bot, Sarah Chronis, Aus Greidanus, Philippe Lafaye, Otis Karthaus"
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,80%,"Action, Animation, Fantasy","Natsuki Hanae, Akari Kito, Takahiro Sakurai, Hochu Otsuka, Yuki Kaji, Ai Kakuma, Daisuke Namikawa, Toshihiko Seki, Takehito Koyasu"
Ryoma! The Prince of Tennis,20%,"Animation, Comedy","Junko Minagawa, Takashi Matsuyama, Tomokazu Sugita, Mikako Takahashi, Ryotaro Okiayu"
Unhappily Ever After,70%,"Comedy, Romance","Adrián Uribe, Consuelo Duval, Niko Antonyan, Angélica Aragón, Luis Arrieta, Livia Brito Pestana, Paly Duval, Carlos Gatica, Carolina Miranda"
The Guardians of the Galaxy Holiday Special,73.0%,"Comedy, Science Fiction, Adventure","Chris Pratt, Dave Bautista, Karen Gillan, Pom Klementieff, Vin Diesel, Bradley Cooper, Sean Gunn, Rhett Miller, Murry Hammond"
